卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
19,テレパス【超】エネルギー,心灵感应【超】能量,M3,079/080,特殊能量卡,无,无,无,无,超,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【超】能量1个和生效。
从手牌将这张卡【超】宝可梦附上的时，自己的牌库从【超】属性的【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。"
20,ロック【闘】エネルギー,岩石【斗】能量,M3,080/080,特殊能量卡,无,无,无,无,斗,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【斗】能量1个和生效。
这卡【斗】宝可梦，对手的宝可梦使用招式的效果不受。（已经受效果，不会消失。）"
21,ズルズキン,头巾混混,PROMO,158/SV-P,宝可梦/1阶进化,无,无,滑头小子,120,恶,草,无,1,顺手牵羊,●,无,自己的备战区宝可梦的数份最多，自己的牌库从任意卡牌选择，加入手牌。然后洗牌库。
21,ズルズキン,头巾混混,PROMO,158/SV-P,宝可梦/1阶进化,无,无,滑头小子,120,恶,草,无,1,飞膝踢,恶●●,100,无
22,ヒポポタス,怪河马,PROMO,186/SV-P,宝可梦/基础,无,无,无,90,斗,草,无,3,顶撞,斗,10,对手的战斗宝可梦备战区宝可梦和互换。［战斗场放出宝可梦对手选择。］
23,カバルドン,河马兽,PROMO,187/SV-P,宝可梦/1阶进化,无,无,怪河马,160,斗,草,无,4,撞击,斗斗,60,无
23,カバルドン,河马兽,PROMO,187/SV-P,宝可梦/1阶进化,无,无,怪河马,160,斗,草,无,4,无,斗斗●,150,伤害指示物放置有双方的备战区宝可梦全員也对，各自40点伤害。［备战区弱点・抵抗力不计算。］
24,ロケット団のガルーラex,火箭队的袋兽ex,PROMO,265/SV-P,宝可梦/基础,ex,训练家的宝可梦（火箭队・坂木）,无,230,无,斗,无,2,连续拳,●●,30×,硬币4次掷，正面的数×30点伤害。
24,ロケット団のガルーラex,火箭队的袋兽ex,PROMO,265/SV-P,宝可梦/基础,ex,训练家的宝可梦（火箭队・坂木）,无,230,无,斗,无,2,恶劣冲击,●●●,120,这个次合，手牌从，名称「火箭队」和带有支援者卡放出使用过的话，100点伤害追加。
25,カイロス,凯罗斯,SV5a,003/066,宝可梦/基础,无,无,无,110,草,火,无,2,缓慢咬碎,草●,无,这宝可梦附有能量，全部弃牌区。下一个对手的次合的结束时，这个招式受到宝可梦【昏厥】。
25,カイロス,凯罗斯,SV5a,003/066,宝可梦/基础,无,无,无,110,草,火,无,2,怪力角,草●●,100,无
26,リーフィア,叶精灵,MC,037/742,宝可梦/1阶进化,无,无,伊布,120,草,火,无,1,的,●,无,自己的手牌从「基本【草】能量」1张选择，备战区宝可梦附上。之后，附上的宝可梦的HP全部恢复。
26,リーフィア,叶精灵,MC,037/742,宝可梦/1阶进化,无,无,伊布,120,草,火,无,1,日光束,草●,70,无
27,テツノイサハ,铁斑叶,SV5a,007/066,宝可梦/基础,无,未来,无,120,草,火,无,1,恢复网,草,无,自己的弃牌区从宝可梦最多2张选择，给对手查看，加入手牌。
27,テツノイサハ,铁斑叶,SV5a,007/066,宝可梦/基础,无,未来,无,120,草,火,无,1,复仇利刃,草●●,100,上一个对手的次合，招式的伤害在，自己的宝可梦【昏厥】的话，60点伤害追加。
28,チャデス,斯魔茶,SV8a,017/187,宝可梦/基础,无,无,无,30,草,火,无,1,[特性]隐于茶仓,无,无,这宝可梦，备战区期间，对手的宝可梦从招式的伤害和效果不受。
28,チャデス,斯魔茶,SV8a,017/187,宝可梦/基础,无,无,无,30,草,火,无,1,钩抓,草,10,无
29,ヤバソチャex,来悲粗茶ex,MC,079/742,宝可梦/1阶进化,ex,无,斯魔茶,240,草,火,无,1,无,●,无,自己的弃牌区「基本【草】能量」全部对手展示，该张数×2个的伤害指示物，对手的宝可梦1只放置。之后，展示能量牌库放次并洗切。
29,ヤバソチャex,来悲粗茶ex,MC,079/742,宝可梦/1阶进化,ex,无,斯魔茶,240,草,火,无,1,抹茶飞溅,草●,120,自己的宝可梦全員的HP，各自「30」恢复。
30,マグカルゴex,熔岩蜗牛ex,MC,096/742,宝可梦/1阶进化,ex,太晶(火),熔岩虫,270,火,水,无,3,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
30,マグカルゴex,熔岩蜗牛ex,MC,096/742,宝可梦/1阶进化,ex,太晶(火),熔岩虫,270,火,水,无,3,滚烫岩浆,火●,70,对手的战斗宝可梦【灼伤】。
30,マグカルゴex,熔岩蜗牛ex,MC,096/742,宝可梦/1阶进化,ex,太晶(火),熔岩虫,270,火,水,无,3,地面燃烧,火火●,140,双方的牌库从上方1张各弃牌区，该其中能量的张数×140点伤害追加。
31,イーユイ,古玉鱼,SV5a,018/066,宝可梦/基础,无,无,无,110,火,水,无,1,踢,●,无,自己的牌库2张抽牌。
31,イーユイ,古玉鱼,SV5a,018/066,宝可梦/基础,无,无,无,110,火,水,无,1,古拉乌恩多梅鲁托,火●,60,场上竞技场卡出的话，60点伤害追加。之后，该竞技场卡弃牌区。
32,グレイシア,冰精灵,SV8a,040/187,宝可梦/1阶进化,无,无,伊布,120,水,钢,无,1,无,水,30,下一个对手的次合的结束时，这个招式受到宝可梦伤害指示物9个放置。
32,グレイシア,冰精灵,SV8a,040/187,宝可梦/1阶进化,无,无,伊布,120,水,钢,无,1,米萨伊鲁,水●,70,无
33,ケロマツ,呱呱泡蛙,SV5a,023/066,宝可梦/基础,无,无,无,60,水,雷,无,1,无,水,无,自己的牌库从「呱呱泡蛙」最多2张选择，备战区放出。然后洗牌库。
33,ケロマツ,呱呱泡蛙,SV5a,023/066,宝可梦/基础,无,无,无,60,水,雷,无,1,跳跃乱撞,水,10,无
34,ゲコガシラ,呱头蛙,SV5a,024/066,宝可梦/1阶进化,无,无,呱呱泡蛙,90,水,雷,无,1,水,水,20,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
35,ウネルミナモ,波荡水,MC,221/742,宝可梦/基础,无,古代,无,130,水,雷,无,1,欧-洛拉盖伊恩,水,20,这宝可梦的HP「20」恢复。
35,ウネルミナモ,波荡水,MC,221/742,宝可梦/基础,无,古代,无,130,水,雷,无,1,无,水水●,20×,这宝可梦伤害指示物最多9个的，的数×20点伤害。
36,モルペコ,莫鲁贝可,MC,270/742,宝可梦/基础,无,无,无,70,雷,斗,无,1,[特性]、,无,无,自己的番1次可以使用。自己的牌库从上方1张查看，也和放次。可以选择，该卡弃牌区。
36,モルペコ,莫鲁贝可,MC,270/742,宝可梦/基础,无,无,无,70,雷,斗,无,1,踢,雷,无,自己的弃牌区从基本能量卡最多2张选择，自己的宝可梦以任意方式附上。
37,テツノイバラex,铁荆棘ex,MC,282/742,宝可梦/基础,ex,未来,无,230,雷,斗,无,4,[特性]伊尼希亚拉伊兹,无,无,这宝可梦战斗场期间，双方的场上的「鲁-鲁带有宝可梦」（「未来」的宝可梦除外）的特性，全部消失。
37,テツノイバラex,铁荆棘ex,MC,282/742,宝可梦/基础,ex,未来,无,230,雷,斗,无,4,博鲁托萨伊库洛恩,雷●●,140,这宝可梦附有能量1个选择，备战区宝可梦改附。
38,キリンリキ,麒麟奇,MC,301/742,宝可梦/基础,无,无,无,100,超,恶,斗,1,也头槌,●,30,自己的备战区宝可梦1只也对，10点伤害。［备战区弱点・抵抗力不计算。］
39,ラブトロス,眷恋云,MC,346/742,宝可梦/基础,无,无,无,120,超,钢,无,1,哈-托萨伊恩,●,30,无
39,ラブトロス,眷恋云,MC,346/742,宝可梦/基础,无,无,无,120,超,钢,无,1,拉布雷佐纳恩斯,超●●,80,自己的场上方，对手的场上的宝可梦和相同属性的宝可梦的话，120点伤害追加。
40,ゲッコウガex,甲贺忍蛙ex,SV5a,045/066,宝可梦/2阶进化,ex,太晶(斗),呱头蛙,310,斗,超,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
40,ゲッコウガex,甲贺忍蛙ex,SV5a,045/066,宝可梦/2阶进化,ex,太晶(斗),呱头蛙,310,斗,超,无,1,的的、,水,170,可以选择，自己的牌库从任意卡牌1张选择，加入手牌。然后洗牌库。
40,ゲッコウガex,甲贺忍蛙ex,SV5a,045/066,宝可梦/2阶进化,ex,太晶(斗),呱头蛙,310,斗,超,无,1,份,水●●,无,这宝可梦附有能量2个弃牌区，对手的宝可梦2只，各自120点伤害。［备战区弱点・抵抗力不计算。］
41,ディンルー,古鼎鹿,SV5a,047/066,宝可梦/基础,无,无,无,140,斗,草,无,3,古拉乌恩多库拉库,斗,30,场上竞技场卡出的话，对手的备战区宝可梦全員也对，各自30点伤害与，该竞技场卡弃牌区。［备战区弱点・抵抗力不计算。］
41,ディンルー,古鼎鹿,SV5a,047/066,宝可梦/基础,无,无,无,140,斗,草,无,3,猛撞,斗斗●,110,无
42,カジッチュ,啃果虫,SV5a,048/066,宝可梦/基础,无,无,无,40,龙,无,无,1,和也,●,无,自己的牌库从宝可梦1张选择，给对手查看，加入手牌。然后洗牌库。
42,カジッチュ,啃果虫,SV5a,048/066,宝可梦/基础,无,无,无,40,龙,无,无,1,撞击,草火,30,无
43,イーブイ,伊布,SV5a,050/066,宝可梦/基础,无,无,无,50,无,斗,无,1,无,●,无,这宝可梦从进化卡，自己的牌库从1张选择，这宝可梦的进化。然后洗牌库。
43,イーブイ,伊布,SV5a,050/066,宝可梦/基础,无,无,无,50,无,斗,无,1,在,●●●,20,硬币1次掷正面的话，20点伤害追加。
44,ガチグマ アカツキex,月月熊 赫月ex,MC,625/742,宝可梦/基础,ex,无,无,260,无,斗,无,3,[特性]的,无,无,对手已经和奖赏卡的张数份，这宝可梦「布拉多月」使用所需的【无】能量减少。
44,ガチグマ アカツキex,月月熊 赫月ex,MC,625/742,宝可梦/基础,ex,无,无,260,无,斗,无,3,布拉多月,●●●●●,240,下一个自己的次合，这宝可梦招式不能使用。
45,シェイミ,谢米,MC,039/742,宝可梦/基础,无,无,无,70,草,火,无,无,皮恩波伊恩托达伊布,草,无,对手的备战区的「宝可梦【ex】・【V】」1只，60点伤害。［备战区弱点・抵抗力不计算。］
45,シェイミ,谢米,MC,039/742,宝可梦/基础,无,无,无,70,草,火,无,无,后踢,●●,50,无
46,ウガツホムラex,破空焰ex,MC,151/742,宝可梦/基础,ex,古代,无,230,火,水,无,2,热爆破,火●,60,无
46,ウガツホムラex,破空焰ex,MC,151/742,宝可梦/基础,ex,古代,无,230,火,水,无,2,无,火火●,260,这个招式使用过的话，这宝可梦，战斗场最多「」不能使用。
47,ワニノコ,小锯鳄,MC,164/742,宝可梦/基础,无,无,无,70,水,雷,无,1,带有,水,10,下一个对手的次合，这个招式受到宝可梦，不能撤退。
48,アリゲイツ,蓝鳄,MC,166/742,宝可梦/1阶进化,无,无,小锯鳄,90,水,雷,无,2,无,水,30,这宝可梦备战区宝可梦和互换。
49,オーダイル,大力鳄,MC,168/742,宝可梦/2阶进化,无,无,蓝鳄,180,水,雷,无,3,[特性]托雷恩托哈-托,无,无,自己的番1次可以使用。这宝可梦伤害指示物5个放置。该情况，这个次合，这宝可梦使用招式的，对手的战斗宝可梦对伤害「+120」。
49,オーダイル,大力鳄,MC,168/742,宝可梦/2阶进化,无,无,蓝鳄,180,水,雷,无,3,无,水水,160,下一个自己的次合，这宝可梦「」不能使用。
50,ウミディグダ,海地鼠,SV8a,042/187,宝可梦/基础,无,无,无,60,水,雷,无,1,也的,水,无,自己的牌库从物品卡1张选择，给对手查看，加入手牌。然后洗牌库。
50,ウミディグダ,海地鼠,SV8a,042/187,宝可梦/基础,无,无,无,60,水,雷,无,1,水流炸弹,水水,40,这宝可梦也对20点伤害。
51,イルカマン,海豚侠,SV5K,023/071,宝可梦/1阶进化,无,无,波普海豚,150,水,雷,无,2,阿恩防御拳,水,130,这宝可梦也对，这宝可梦放置有伤害指示物的数×10点伤害。
51,イルカマン,海豚侠,SV5K,023/071,宝可梦/1阶进化,无,无,波普海豚,150,水,雷,无,2,达布鲁阿塔库,水●●,90×,硬币2次掷，正面的数×90点伤害。
52,ウミトリオex,三海地鼠ex,SV5K,025/071,宝可梦/1阶进化,ex,太晶(雷),海地鼠,250,雷,斗,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
52,ウミトリオex,三海地鼠ex,SV5K,025/071,宝可梦/1阶进化,ex,太晶(雷),海地鼠,250,雷,斗,无,1,托利科洛波恩普,水,无,自己的手牌从能量最多3张弃牌区，该张数×60点伤害，对手的宝可梦1只造成。［备战区弱点・抵抗力不计算。］
52,ウミトリオex,三海地鼠ex,SV5K,025/071,宝可梦/1阶进化,ex,太晶(雷),海地鼠,250,雷,斗,无,1,霍-鲁多,水水,120,下一个对手的次合，这个招式受到宝可梦，不能撤退。
53,マリル,玛力露,SV5K,026/071,宝可梦/基础,无,无,无,70,超,钢,无,2,无,●,10×,反面出最多掷硬币，正面的数×10点伤害。
53,マリル,玛力露,SV5K,026/071,宝可梦/基础,无,无,无,70,超,钢,无,2,魔法射击,超●●,40,无
54,ドーミラー,铜镜怪,SV5K,028/071,宝可梦/基础,无,无,无,80,超,恶,斗,3,米拉-阿塔库,超,10,对手的战斗宝可梦【超】宝可梦的话，30点伤害追加。
55,ドータクン,青铜钟,SV5K,029/071,宝可梦/1阶进化,无,无,铜镜怪,110,超,恶,斗,3,吉亚玛-,超,30,下一个对手的次合，对手手牌从宝可梦放出進化。
55,ドータクン,青铜钟,SV5K,029/071,宝可梦/1阶进化,无,无,铜镜怪,110,超,恶,斗,3,念力,超●●,100,无
56,ハバタクカミ,振翼发,MC,355/742,宝可梦/基础,无,古代,无,90,超,钢,无,1,[特性]、的,无,无,这宝可梦战斗场期间，对手的战斗宝可梦的特性（「、的」除外），全部消失。
56,ハバタクカミ,振翼发,MC,355/742,宝可梦/基础,无,古代,无,90,超,钢,无,1,和,●●●,90,伤害指示物2个，对手的备战区宝可梦以任意方式放置。
57,ジーランス,古空棘鱼,SV8a,079/187,宝可梦/基础,无,无,无,100,斗,草,无,1,[特性]也对,无,无,这宝可梦期间，自己的已经进化的宝可梦全員，進化前持招式，全部可以使用。［使用招式所需的能量必要。］
57,ジーランス,古空棘鱼,SV8a,079/187,宝可梦/基础,无,无,无,100,斗,草,无,1,切割,斗●,30,无
58,イダイナキバ,雄伟牙,SV8a,086/187,宝可梦/基础,无,古代,无,140,斗,超,无,3,无,●●,无,对手的牌库从上方1张弃牌区。这个次合，手牌从「古代」的支援者卡放出使用过的话，3张弃牌区。
58,イダイナキバ,雄伟牙,SV8a,086/187,宝可梦/基础,无,古代,无,140,斗,超,无,3,基巴,斗斗●●,160,无
59,ゴース,鬼斯,MC,441/742,宝可梦/基础,无,无,无,60,恶,斗,无,1,光束,恶,无,硬币1次掷正面的话，对手的战斗宝可梦附有能量1个选择，弃牌区。
59,ゴース,鬼斯,MC,441/742,宝可梦/基础,无,无,无,60,恶,斗,无,1,嘎斯在,恶恶,30,无
60,ゴースト,鬼斯通,MC,443/742,宝可梦/1阶进化,无,无,鬼斯,90,恶,斗,无,1,其中毒的,恶恶,30,对手的战斗宝可梦【其中毒】。
61,トドロクツキ,轰鸣月,SV8a,100/187,宝可梦/基础,无,古代,无,140,恶,草,无,2,、,恶恶,70,自己的弃牌区「古代」的卡的张数×10点伤害追加。
61,トドロクツキ,轰鸣月,SV8a,100/187,宝可梦/基础,无,古代,无,140,恶,草,无,2,斯皮-多乌伊恩古,恶●●●,120,无
62,コライドン,故勒顿,MC,550/742,宝可梦/基础,无,古代,无,140,龙,无,无,2,无,斗●,30×,自己的场上的「古代」的宝可梦的数×30点伤害。
62,コライドン,故勒顿,MC,550/742,宝可梦/基础,无,古代,无,140,龙,无,无,2,无,火斗●,130,这招式的伤害，对手的战斗宝可梦效果不计算。
63,タケルライコex,猛雷鼓ex,MC,554/742,宝可梦/基础,ex,古代,无,240,龙,无,无,3,踢,●,无,自己的手牌全部弃牌区，牌库6张抽牌。
63,タケルライコex,猛雷鼓ex,MC,554/742,宝可梦/基础,ex,古代,无,240,龙,无,无,3,无,雷斗,70×,自己的场上的宝可梦附有基本能量卡任意数量弃牌区，该张数×70点伤害。
64,ホーホー,咕咕,SV5K,054/071,宝可梦/基础,无,无,无,70,无,雷,斗,1,萨伊雷恩托乌伊恩古,●●,20,对手的手牌查看。
65,ノコッチ,土龙弟弟,SV8a,129/187,宝可梦/基础,无,无,无,60,无,斗,无,无,啃咬,●,10,无
65,ノコッチ,土龙弟弟,SV8a,129/187,宝可梦/基础,无,无,无,60,无,斗,无,无,无,●●,30,硬币1次掷正面的话，下一个对手的次合，这宝可梦招式的伤害和效果不受。
66,ノココッチ,土龙节节,SV8a,130/187,宝可梦/1阶进化,无,无,土龙弟弟,140,无,斗,无,3,[特性]抽牌,无,无,自己的番1次可以使用。自己的牌库3张抽牌。之后，这宝可梦和，附有全部的卡，牌库放次并洗切。
66,ノココッチ,土龙节节,SV8a,130/187,宝可梦/1阶进化,无,无,土龙弟弟,140,无,斗,无,3,拉恩多粉碎,●●●,90,无
67,クヌギダマ,榛果球,SV5M,002/071,宝可梦/基础,无,无,无,70,草,火,无,2,撞击,●●●,50,无
68,タネボー,橡实果,SV5M,003/071,宝可梦/基础,无,无,无,60,草,火,无,1,无,草,无,下一个对手的次合，这宝可梦受到招式的伤害「-30」。
68,タネボー,橡实果,SV5M,003/071,宝可梦/基础,无,无,无,60,草,火,无,1,无,●●,20,无
69,コノハナ,长鼻叶,SV5M,004/071,宝可梦/1阶进化,无,无,橡实果,90,草,火,无,1,带有,草,20,无
69,コノハナ,长鼻叶,SV5M,004/071,宝可梦/1阶进化,无,无,橡实果,90,草,火,无,1,比恩塔,●●,30×,硬币3次掷，正面的数×30点伤害。
70,ダーテング,狡猾天狗,SV5M,005/071,宝可梦/2阶进化,无,无,长鼻叶,150,草,火,无,2,托鲁内-多,草,无,对手的备战区宝可梦3只选择。之后，选择后对手的备战区宝可梦全員和，附有全部的卡，对手的牌库放次并洗切。
70,ダーテング,狡猾天狗,SV5M,005/071,宝可梦/2阶进化,无,无,长鼻叶,150,草,火,无,2,艾内鲁-普,●●,140,这宝可梦附有能量1个选择，手牌放次。
71,シキジカ,四季鹿,SV5M,008/071,宝可梦/基础,无,无,无,70,草,火,无,1,跳跃乱撞,●,10,无
71,シキジカ,四季鹿,SV5M,008/071,宝可梦/基础,无,无,无,70,草,火,无,1,撞击,草●●,40,这宝可梦附有【草】能量1个选择，弃牌区。
72,メブキジカ,芽吹鹿,SV5M,009/071,宝可梦/1阶进化,无,无,四季鹿,130,草,火,无,2,[特性]的,无,无,自己的番1次可以使用。自己的牌库从竞技场卡1张选择，给对手查看，加入手牌。然后洗牌库。
72,メブキジカ,芽吹鹿,SV5M,009/071,宝可梦/1阶进化,无,无,四季鹿,130,草,火,无,2,怪力角,草●●,110,无
73,シガロコ,虫滚泥,SV8a,013/187,宝可梦/基础,无,无,无,50,草,火,无,1,和,●,30,这宝可梦也对10点伤害。
74,ベラカス,虫甲圣,SV8a,014/187,宝可梦/1阶进化,无,无,虫滚泥,70,草,火,无,1,[特性]斯夫伊阿护盾,无,无,这宝可梦期间，自己的备战区宝可梦全員，对手的宝可梦从招式的伤害和效果不受。
74,ベラカス,虫甲圣,SV8a,014/187,宝可梦/1阶进化,无,无,虫滚泥,70,草,火,无,1,精神强念,草,10,对手的战斗宝可梦附有能量的数×30点伤害追加。
75,テツノイサハex,铁斑叶ex,MC,077/742,宝可梦/基础,ex,未来,无,220,草,火,无,1,[特性]拉皮多巴-尼阿,无,无,自己的番，从手牌将这张卡备战区放出时，1次可以使用。这宝可梦战斗宝可梦和互换。互换后的情况，自己的场上的宝可梦附有能量任意选择，这宝可梦改附。
75,テツノイサハex,铁斑叶ex,MC,077/742,宝可梦/基础,ex,未来,无,220,草,火,无,1,棱镜锋刃,草草●,180,下一个自己的次合，这宝可梦招式不能使用。
76,マグマッグ,熔岩虫,SV5M,017/071,宝可梦/基础,无,无,无,80,火,水,无,2,、,火,10,对手的战斗宝可梦【灼伤】的话，40点伤害追加。
77,ニャビー,火斑喵,MC,130/742,宝可梦/基础,无,无,无,70,火,水,无,2,无,火,10,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
78,ニャヒート,炎热喵,MC,131/742,宝可梦/1阶进化,无,无,火斑喵,100,火,水,无,2,咬住,火,30,无
78,ニャヒート,炎热喵,MC,131/742,宝可梦/1阶进化,无,无,火斑喵,100,火,水,无,2,烈焰飞天螳螂,火●●,80,下一个自己的次合，这宝可梦「烈焰飞天螳螂」不能使用。
79,ガオガエンex,炽焰咆哮虎ex,MC,132/742,宝可梦/2阶进化,ex,无,炎热喵,320,火,水,无,2,[特性]哈斯鲁普雷-,无,无,对手的备战区宝可梦的数份，这宝可梦使用招式所需的【无】能量减少。
79,ガオガエンex,炽焰咆哮虎ex,MC,132/742,宝可梦/2阶进化,ex,无,炎热喵,320,火,水,无,2,爆炎炸弹,火●●●●,240,对手的战斗宝可梦【灼伤】。
80,テツノカシラex,铁头壳ex,MC,361/742,宝可梦/基础,ex,未来,无,220,超,恶,斗,2,[特性]科巴鲁托科玛恩多,无,无,这宝可梦期间，自己的「未来」的宝可梦（「铁头壳【ex】」除外）使用招式的，对手的战斗宝可梦对伤害「+20」。
80,テツノカシラex,铁头壳ex,MC,361/742,宝可梦/基础,ex,未来,无,220,超,恶,斗,2,兹伊恩希约-特鲁,超●●,无,对手的宝可梦2只，各自50点伤害。这招式的伤害，弱点・抵抗力和，伤害受到宝可梦效果不计算。
81,モグリュー,螺钉地鼠,SV8a,083/187,宝可梦/基础,无,无,无,70,斗,草,无,1,[特性],无,无,自己的番，从手牌将这张卡备战区放出时，1次可以使用。自己的牌库从「基本【斗】能量」最多3张选择，弃牌区。然后洗牌库。
81,モグリュー,螺钉地鼠,SV8a,083/187,宝可梦/基础,无,无,无,70,斗,草,无,1,无,斗●,20,无
82,ドリュウズ,龙头地鼠,SV5M,040/071,宝可梦/1阶进化,无,无,螺钉地鼠,130,斗,草,无,2,玛多射击,●,20,无
82,ドリュウズ,龙头地鼠,SV5M,040/071,宝可梦/1阶进化,无,无,螺钉地鼠,130,斗,草,无,2,瓦伊鲁多撞击,斗斗●,180,这宝可梦也对50点伤害。
83,リキキリンex,奇麒麟ex,MC,486/742,宝可梦/1阶进化,ex,太晶(恶),麒麟奇,260,恶,草,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
83,リキキリンex,奇麒麟ex,MC,486/742,宝可梦/1阶进化,ex,太晶(恶),麒麟奇,260,恶,草,无,2,[特性]特伊鲁阿-玛-,无,无,这宝可梦，对手的【基础】宝可梦的「宝可梦【ex】」从招式的伤害不受。
83,リキキリンex,奇麒麟ex,MC,486/742,宝可梦/1阶进化,ex,太晶(恶),麒麟奇,260,恶,草,无,2,达-特伊光束,超●●,160,对手的备战区宝可梦1只也对，30点伤害。［备战区弱点・抵抗力不计算。］
84,ハッサムex,巨钳螳螂ex,MC,492/742,宝可梦/1阶进化,ex,无,飞天螳螂,270,钢,火,草,2,钢的,●●,70,下一个对手的次合，这宝可梦受到招式的伤害「-50」。
84,ハッサムex,巨钳螳螂ex,MC,492/742,宝可梦/1阶进化,ex,无,飞天螳螂,270,钢,火,草,2,库洛斯布光线卡-,钢钢,120×,这宝可梦附有【钢】能量最多2张弃牌区，该张数×120点伤害。
85,ダンバル,铁哑铃,MC,496/742,宝可梦/基础,无,无,无,70,钢,火,草,1,兹梅,钢,10,无
85,ダンバル,铁哑铃,MC,496/742,宝可梦/基础,无,无,无,70,钢,火,草,1,铁撞击,钢●●,50,这宝可梦也对10点伤害。
